    PID    PPID STAT     ELAPSED COMMAND         COMMAND
     96       2 S     3-14:27:58 migration/13    [migration/13]
     97       2 S     3-14:27:58 ksoftirqd/13    [ksoftirqd/13]
     98       2 I     3-14:27:58 kworker/13:0-mm [kworker/13:0-mm_percpu_wq]
     99       2 I<    3-14:27:58 kworker/13:0H-k [kworker/13:0H-kblockd]
    100       2 S     3-14:27:58 cpuhp/14        [cpuhp/14]
    101       2 S     3-14:27:58 idle_inject/14  [idle_inject/14]
    102       2 S     3-14:27:58 migration/14    [migration/14]
    103       2 S     3-14:27:58 ksoftirqd/14    [ksoftirqd/14]
    105       2 I<    3-14:27:58 kworker/14:0H-k [kworker/14:0H-kblockd]
    106       2 S     3-14:27:58 cpuhp/15        [cpuhp/15]
    107       2 S     3-14:27:58 idle_inject/15  [idle_inject/15]
    108       2 S     3-14:27:58 migration/15    [migration/15]
    109       2 S     3-14:27:58 ksoftirqd/15    [ksoftirqd/15]
    111       2 I<    3-14:27:58 kworker/15:0H-k [kworker/15:0H-kblockd]
    112       2 S     3-14:27:58 cpuhp/16        [cpuhp/16]
    113       2 S     3-14:27:58 idle_inject/16  [idle_inject/16]
    114       2 S     3-14:27:58 migration/16    [migration/16]
    115       2 S     3-14:27:58 ksoftirqd/16    [ksoftirqd/16]
    117       2 I<    3-14:27:58 kworker/16:0H-k [kworker/16:0H-kblockd]
    118       2 S     3-14:27:58 rcu_exp_par_gp_ [rcu_exp_par_gp_kthread_worker/2]
    119       2 S     3-14:27:58 cpuhp/17        [cpuhp/17]
    120       2 S     3-14:27:58 idle_inject/17  [idle_inject/17]
    121       2 S     3-14:27:58 migration/17    [migration/17]
    122       2 S     3-14:27:58 ksoftirqd/17    [ksoftirqd/17]
    124       2 I<    3-14:27:58 kworker/17:0H-k [kworker/17:0H-kblockd]
    125       2 S     3-14:27:58 cpuhp/18        [cpuhp/18]
    126       2 S     3-14:27:58 idle_inject/18  [idle_inject/18]
    127       2 S     3-14:27:58 migration/18    [migration/18]
    128       2 S     3-14:27:58 ksoftirqd/18    [ksoftirqd/18]
    129       2 I     3-14:27:58 kworker/18:0-mm [kworker/18:0-mm_percpu_wq]
    130       2 I<    3-14:27:58 kworker/18:0H-k [kworker/18:0H-kblockd]
    131       2 S     3-14:27:58 cpuhp/19        [cpuhp/19]
    132       2 S     3-14:27:58 idle_inject/19  [idle_inject/19]
